2021-09-17 00:47:39,736 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='2', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170047')
2021-09-17 00:47:39,750 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 00:47:40,752 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 00:47:41,141 - INFO - load: budget=2, scheme=(0.2,0.0), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,141 - INFO - load: budget=2, scheme=(0.2,0.04000000000000001), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,141 - INFO - load: budget=2, scheme=(0.2,0.08000000000000002), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,141 - INFO - load: budget=2, scheme=(0.2,0.12000000000000002), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,141 - INFO - load: budget=2, scheme=(0.2,0.16000000000000003), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,141 - INFO - load: budget=2, scheme=(0.2,0.2), tilderR(55) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,142 - INFO - compute: budget=2, scheme=(0.30000000000000004,0.0), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,142 - INFO - load: budget=2, scheme=(0.30000000000000004,0.06000000000000001), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,142 - INFO - load: budget=2, scheme=(0.30000000000000004,0.12000000000000002), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,143 - INFO - load: budget=2, scheme=(0.30000000000000004,0.18000000000000005), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,143 - INFO - load: budget=2, scheme=(0.30000000000000004,0.24000000000000005), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,143 - INFO - load: budget=2, scheme=(0.30000000000000004,0.30000000000000004), tilderR(54) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,144 - INFO - compute: budget=2, scheme=(0.4,0.0), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,144 - INFO - load: budget=2, scheme=(0.4,0.08000000000000002), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,144 - INFO - load: budget=2, scheme=(0.4,0.16000000000000003), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,144 - INFO - load: budget=2, scheme=(0.4,0.24000000000000005), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,144 - INFO - load: budget=2, scheme=(0.4,0.32000000000000006), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,144 - INFO - load: budget=2, scheme=(0.4,0.4), tilderR(49) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,145 - INFO - compute: budget=2, scheme=(0.5,0.0), tilderR(35) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,145 - INFO - load: budget=2, scheme=(0.5,0.1), tilderR(35) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,145 - INFO - load: budget=2, scheme=(0.5,0.2), tilderR(35) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,145 - INFO - load: budget=2, scheme=(0.5,0.30000000000000004), tilderR(35) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,145 - INFO - load: budget=2, scheme=(0.5,0.4), tilderR(35) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,145 - INFO - load: budget=2, scheme=(0.5,0.5), tilderR(35) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - compute: budget=2, scheme=(0.6000000000000001,0.0), tilderR(21) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - load: budget=2, scheme=(0.6000000000000001,0.12000000000000002), tilderR(21) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - load: budget=2, scheme=(0.6000000000000001,0.24000000000000005), tilderR(21) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - load: budget=2, scheme=(0.6000000000000001,0.3600000000000001), tilderR(21) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - load: budget=2, scheme=(0.6000000000000001,0.4800000000000001), tilderR(21) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - load: budget=2, scheme=(0.6000000000000001,0.6000000000000001), tilderR(21) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,146 - INFO - compute: budget=2, scheme=(0.7000000000000001,0.0), tilderR(8) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.7000000000000001,0.14), tilderR(8) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.7000000000000001,0.28), tilderR(8) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.7000000000000001,0.4200000000000001), tilderR(8) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.7000000000000001,0.56), tilderR(8) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.7000000000000001,0.7000000000000001), tilderR(8) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - compute: budget=2, scheme=(0.8,0.0), tilderR(3) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.8,0.16000000000000003), tilderR(3) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.8,0.32000000000000006), tilderR(3) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.8,0.4800000000000001), tilderR(3) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.8,0.6400000000000001), tilderR(3) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - load: budget=2, scheme=(0.8,0.8), tilderR(3) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,147 - INFO - compute: budget=2, scheme=(0.9,0.0), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(0.9,0.18000000000000002), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(0.9,0.36000000000000004), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(0.9,0.5400000000000001), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(0.9,0.7200000000000001), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(0.9,0.9), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(1.0,0.0), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(1.0,0.2), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(1.0,0.4), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(1.0,0.6000000000000001), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(1.0,0.8), tilderR(0) tilderS(0),result=(set(), 0) 
2021-09-17 00:47:41,148 - INFO - load: budget=2, scheme=(1.0,1.0), tilderR(0) tilderS(0),result=(set(), 0) 
